,amount,reward_debt,address
0,766585644801193603002,30985508400619846995531,0xa4722a7A8a79E0de7B568559261D789f0B80baDC
1,0,0,0x326A7D91B6F767458599E7d93DFc850d2e083d30
2,0,0,0x4BC4Da7839a3c987D44F0DBDAcBDd1f53243Ba24
3,0,0,0xE1e96F427297C1A7c597cAEDF127D7906F1f2794
4,0,0,0x3B97fD8F6fbF336672a80a9C3072b60c1AC37914
5,0,0,0x4aaBbD724A9446b45Cf5f266766034718d2B5464
6,0,0,0xD0587b82b9EA3844c1191D83F1fEAfda61916DD1
7,0,0,0x680c7E2f9E2e82B8D6F7fF269E5b07Ee5562EcFf
8,0,0,0x5Cf75e28d895fEEd706d8C54BD1838ca77ca06e5
9,0,0,0xFb5146803b7dde661aab84915cC1435697cAf896
10,0,0,0x7e2D9a91661e3E343a7Cf01Ee6045aF209EdE6BB
11,0,-301352525751149,0xbb34057609Ca07D2ae71E96AD62809fd924c3e87
12,0,0,0x72718B587bB239D5c8ce1278412768c414e44113
13,0,0,0xF1cA4955DeE7661B12d6EeCB0e18271D8668fB6a
14,0,0,0xe4b8C70495313841D2B0Ce67Eaef43bA5a1E9611
15,0,0,0x360bBAD1120B0ABF63573e2e21B6727e07D1Bf18
16,0,0,0x1fc80107e516A21B41d7c18Fdc88390a6F89aAb2
17,0,0,0x139954A19af41e3EbC664c535Ef503049ff572B0
18,0,0,0xCc6E38dcfE5d8888126c40DC06a3EF84c496CD45
19,0,0,0xE23dfd323Aa30086a5a8CeeCE249191911fE72D2
20,0,0,0xBf32497793f6D60E3615f52C40c395ec14A6D8Bb
21,0,0,0x44f4DA18D1e9609E13B3d10cD091e3836C69Bff2
22,0,0,0x48c3571bd652acFFF2730b65011aCCb11579fa40
23,0,0,0x0822d6E5aBeaC07FE0ECf23b865B9Db02AABf1D7
24,0,0,0xF6aF57C78B8635f7a3413fBB477DE47cAd01DcCf
25,0,0,0x585E476314e8F6088754958C18Cd25Dc1A1b7A63
26,0,0,0x4Fdc9A584BF9e3dB5faFEf31A5b8349B40E96064
27,0,0,0x938aA873fab82044eCef6831e88574e3A903F973
